customer_id,tenure_months,monthly_spend,usage_hours,inactive_days,support_tickets,payment_failures,plan_changes,feedback_score,usage_trend,spend_trend,churned,avg_interaction_score,total_interactions,favorite_category
1,52,53.33,189.5,35,0,0,3,2.57,-0.88,-0.2,1,2.5454545454545454,11,OTT Bundle
2,15,97.87,123.8,18,1,0,1,4.81,2.01,-0.46,0,3.25,12,Roaming
3,61,55.09,198.4,5,1,2,1,4.7,0.83,0.96,0,3.0,6,Roaming
4,21,66.57,212.5,24,5,0,4,3.64,0.55,-0.27,0,2.9,10,OTT Bundle
5,24,77.48,42.0,30,0,1,1,1.04,1.0,-0.89,0,2.625,8,Roaming
6,3,88.84,130.0,8,3,0,3,2.6,0.24,0.73,0,2.4545454545454546,11,Insurance
7,22,46.64,123.9,36,1,1,5,4.64,1.29,0.38,0,3.3636363636363638,11,Insurance
8,53,52.48,100.9,26,0,4,1,4.54,0.06,-0.31,0,3.0,6,Data Pack
9,2,82.94,142.1,12,2,0,4,1.75,0.0,-0.36,0,3.0833333333333335,12,Insurance
10,30,74.58,121.9,40,0,3,5,2.6,0.64,-0.91,1,2.888888888888889,9,Voice Plan
11,38,79.35,86.9,65,3,0,5,4.34,1.58,0.73,1,2.875,8,Roaming
12,2,35.36,118.8,23,1,1,5,3.31,1.51,-0.36,0,3.2857142857142856,7,Data Pack
13,64,87.86,174.2,43,1,0,3,4.39,0.59,-0.77,1,2.625,8,Data Pack
14,60,46.29,128.2,59,1,0,4,4.31,0.52,-1.29,1,2.8666666666666667,15,Data Pack
15,21,63.46,148.2,8,4,3,2,4.63,0.7,0.39,0,2.2,5,Data Pack
16,33,57.33,107.5,1,1,0,0,1.47,0.99,-0.51,0,2.7777777777777777,9,Insurance
17,58,44.19,140.3,55,2,1,1,1.58,1.3,-2.01,1,2.8,10,OTT Bundle
18,22,34.57,65.6,29,1,1,1,1.33,-0.24,-1.2,0,2.125,8,Insurance
19,49,28.61,97.5,21,2,0,1,4.74,1.32,-0.23,0,2.5555555555555554,9,OTT Bundle
20,59,62.14,115.4,12,0,0,2,2.9,0.34,-0.21,0,3.4,5,Insurance
21,42,32.54,62.6,15,2,1,5,1.26,0.65,-0.24,0,2.4444444444444446,9,Data Pack
22,60,39.59,82.6,44,2,0,5,2.29,1.38,-0.38,1,2.25,4,Roaming
23,15,56.08,134.1,64,2,0,0,2.41,0.75,-1.48,1,2.8181818181818183,11,Insurance
24,62,20.0,125.8,10,1,1,4,4.24,0.92,-0.87,0,3.4545454545454546,11,Voice Plan
25,62,74.02,156.3,69,2,1,2,3.94,-0.39,1.18,1,2.888888888888889,9,Insurance
26,47,20.0,93.0,19,0,1,2,3.76,1.5,1.04,0,3.25,4,Insurance
